更新时间: 2026-04-04 02:29:23（北京时间）

更新时间,#genre#
2026-04-04 02:29:23,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://180.109.221.48:7000/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://27.223.143.225:4001/rtp/239.253.254.82:8000$山东联通
湖南卫视,http://183.191.140.139:8001/rtp/226.0.2.143:9056$山西联通
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://106.59.2.184:55555/rtp/239.200.200.6:8012$云南电信
湖南卫视,http://115.171.216.84:4000/rtp/225.1.8.41:8012$北京市电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://180.109.221.48:7000/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://27.223.143.225:4001/rtp/239.253.254.84:8000$山东联通
浙江卫视,http://183.191.140.139:8001/rtp/226.0.2.144:9064$山西联通
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://106.59.2.184:55555/rtp/239.200.200.35:8204$云南电信
浙江卫视,http://115.171.216.84:4000/rtp/225.1.8.46:8036$北京市电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://180.109.221.48:7000/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://27.223.143.225:4001/rtp/239.253.254.83:8000$山东联通
江苏卫视,http://183.191.140.139:8001/rtp/226.0.2.176:9320$山西联通
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://106.59.2.184:55555/rtp/239.200.200.36:8208$云南电信
江苏卫视,http://115.171.216.84:4000/rtp/225.1.8.44:8028$北京市电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://180.109.221.48:7000/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://27.223.143.225:4001/rtp/239.253.254.86:8000$山东联通
东方卫视,http://183.191.140.139:8001/rtp/226.0.2.175:9312$山西联通
东方卫视,http://106.59.2.184:55555/rtp/239.200.200.48:8260$云南电信
东方卫视,http://115.171.216.84:4000/rtp/225.1.8.45:8032$北京市电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://180.109.221.48:7000/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://27.223.143.225:4001/rtp/239.253.254.91:8000$山东联通
深圳卫视,http://183.191.140.139:8001/rtp/226.0.2.147:9088$山西联通
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://106.59.2.184:55555/rtp/239.200.200.67:8776$云南电信
深圳卫视,http://115.171.216.84:4000/rtp/225.1.8.43:8020$北京市电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://180.109.221.48:7000/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://27.223.143.225:4001/rtp/239.253.254.85:8000$山东联通
北京卫视,http://183.191.140.139:8001/rtp/226.0.2.177:9328$山西联通
北京卫视,http://223.10.214.111:6000/rtp/239.1.1.41:8041$山西电信
北京卫视,http://106.59.2.184:55555/rtp/239.200.200.5:8024$云南电信
北京卫视,http://115.171.216.84:4000/rtp/225.1.8.21:8002$北京市电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://180.109.221.48:7000/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://27.223.143.225:4001/rtp/239.253.254.90:8000$山东联通
广东卫视,http://183.191.140.139:8001/rtp/226.0.2.146:9080$山西联通
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://106.59.2.184:55555/rtp/239.200.200.52:8276$云南电信
广东卫视,http://115.171.216.84:4000/rtp/225.1.8.49:8048$北京市电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://180.109.221.48:7000/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://27.223.143.225:4001/rtp/239.253.254.197:8000$山东联通
广西卫视,http://183.191.140.139:8001/rtp/226.0.2.231:9760$山西联通
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://106.59.2.184:55555/rtp/239.200.200.53:8280$云南电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://180.109.221.48:7000/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://27.223.143.225:4001/rtp/239.253.254.105:8000$山东联通
东南卫视,http://183.191.140.139:8001/rtp/226.0.2.188:9416$山西联通
东南卫视,http://223.10.214.111:6000/rtp/239.1.1.33:8033$山西电信
东南卫视,http://106.59.2.184:55555/rtp/239.200.200.50:8268$云南电信
东南卫视,http://115.171.216.84:4000/rtp/225.1.8.79:8148$北京市电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://180.109.221.48:7000/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://27.223.143.225:4001/rtp/239.253.254.179:8000$山东联通
海南卫视,http://183.191.140.139:8001/rtp/226.0.2.212:9608$山西联通
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
海南卫视,http://106.59.2.184:55555/rtp/239.200.200.59:8304$云南电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://180.109.221.48:7000/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://27.223.143.225:4001/rtp/239.253.254.112:8000$山东联通
河北卫视,http://183.191.140.139:8001/rtp/226.0.2.178:9336$山西联通
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://106.59.2.184:55555/rtp/239.200.200.12:8844$云南电信
河北卫视,http://115.171.216.84:4000/rtp/225.1.8.76:8002$北京市电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://180.109.221.48:7000/rtp/239.49.8.29:8000$江苏电信
河南卫视,http://27.223.143.225:4001/rtp/239.253.254.190:8000$山东联通
河南卫视,http://183.191.140.139:8001/rtp/226.0.2.195:9472$山西联通
